time_index,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
1878,0.067383729,0.020750245,0.060295513,0.455427306,0.148303869,0.072863053,0.010224374,0.024708401,0.729327516,0.206379959,0.027753185,0.020089866,0.010541184,0.162763561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1879,0.068275235,0.018272221,0.048899351,0.45339374,0.130924827,0.068607366,0.007622778,0.022304391,0.724816122,0.195493536,0.023761971,0.018444037,0.008626812,0.150891925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1880,0.069223675,0.01477428,0.044405484,0.460990777,0.12341472,0.06751075,0.008205645,0.018137097,0.699640576,0.180783962,0.020387883,0.018105182,0.008170592,0.133768944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1881,0.074329182,0.014112765,0.034810522,0.47669042,0.121529519,0.076327861,0.008777985,0.015447426,0.672063428,0.172966178,0.018981839,0.018494964,0.008138647,0.127697723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882,0.076375375,0.014214307,0.030692037,0.490092895,0.11560111,0.079499608,0.014848853,0.015224157,0.657368963,0.16130878,0.01569429,0.019190832,0.007034843,0.125740787,0,0.002759107,0.145145833,0.013125,0.002059333,0.008375278,0.121581947,0,0.06798903,0.000976215,0.002377446,0.185490157,0,0.059706185
1883,0.053754436,0.021125359,0.037347068,0.437825193,0.086140089,0.066435426,0.025353658,0.016291503,0.489011012,0.130888765,0.013721563,0.033990797,0.00787186,0.06024265,0.088320593,0.087874298,0.292991667,0.564865,0.093533738,0.042636908,0.231384651,0.046075577,0.178485442,0.110100869,0.062057182,0.310181119,0.055875303,0.186528629
1884,0.055406044,0.023364736,0.055155701,0.455893731,0.070003082,0.071605188,0.02311938,0.020683185,0.486477585,0.132848854,0.01896069,0.028914836,0.00777657,0.054335404,0.15014855,0.238105154,0.405874167,0.570255,0.188647364,0.143719418,0.300027997,0.101038615,0.237962242,0.176397961,0.135597089,0.377467187,0.123519977,0.30672813
1885,0.054793619,0.021028716,0.061111545,0.465149554,0.069402451,0.09170585,0.018263181,0.026422021,0.507967154,0.122499887,0.018389326,0.022014111,0.007824517,0.064067081,0.223582594,0.356253052,0.416816667,0.56119,0.257544666,0.191879549,0.382963528,0.165290564,0.30746103,0.248475981,0.231653597,0.463902888,0.222046236,0.424596378
1886,0.058605868,0.0186667,0.066293525,0.463242899,0.072091683,0.07859472,0.019143895,0.028948661,0.473748251,0.123506879,0.014756173,0.025214082,0.007347162,0.071976812,0.291744236,0.432889977,0.4555675,0.58827,0.322796533,0.185314313,0.443537612,0.206074205,0.371971139,0.300626191,0.288706293,0.528680511,0.277397172,0.518531613
1887,0.059172716,0.024639836,0.077096284,0.475144073,0.08313765,0.068634492,0.021113478,0.026491388,0.405141892,0.126543374,0.017707905,0.029659744,0.011923309,0.06752381,0.369280969,0.507787034,0.46125,0.67282,0.361639553,0.268091431,0.483947766,0.265047551,0.395955061,0.330388322,0.322015108,0.576406656,0.302348304,0.505931904
1888,0.054509636,0.026043366,0.086566576,0.462472715,0.085660026,0.055536234,0.021422414,0.02461673,0.369755772,0.116242114,0.021340127,0.030909594,0.016331159,0.0487147,0.399364239,0.487691323,0.437001667,0.673935,0.392106877,0.250214822,0.486993857,0.240572103,0.374148667,0.381733646,0.307270085,0.577294528,0.270850036,0.457793286
1889,0.043480553,0.018547713,0.098514834,0.438558545,0.083445709,0.05047226,0.018626756,0.02165669,0.352754975,0.097774775,0.029851167,0.025951965,0.013244928,0.030869565,0.450461952,0.540678867,0.432810833,0.70019,0.381344014,0.349049413,0.476634955,0.227553333,0.373530442,0.383231237,0.334954158,0.569863081,0.21108366,0.431304873
1890,0.042056918,0.018233221,0.106269501,0.395573895,0.069151151,0.043287814,0.019297143,0.016494134,0.310470727,0.081208843,0.028664216,0.01888053,0.013809662,0.024366046,0.406871906,0.504456315,0.4739625,0.679285,0.418659199,0.253440346,0.431247308,0.218070282,0.368690067,0.412737223,0.284018861,0.547653787,0.136921529,0.394391867
1891,0.035575055,0.017388688,0.114707351,0.37814588,0.055384581,0.041290972,0.020867383,0.017027322,0.294929912,0.071814705,0.028981008,0.01494877,0.019246618,0.02044472,0.288358687,0.495218356,0.481204167,0.571735,0.381028232,0.244846331,0.333820573,0.136955051,0.296962182,0.320942755,0.223529187,0.480170514,0.113329835,0.285951833
1892,0.034920929,0.015359429,0.134253359,0.349044454,0.049617608,0.045402087,0.016090477,0.018063882,0.26733208,0.067677464,0.016842959,0.013485275,0.019282246,0.011663768,0.254666706,0.424212787,0.337288333,0.24722,0.293401908,0.158913354,0.284919514,0.082635115,0.2304474,0.276148008,0.165338382,0.378439659,0.056192543,0.221756204
1893,0.031595208,0.015135584,0.14638152,0.329761786,0.050878112,0.035948634,0.013857936,0.024001804,0.242294494,0.06875125,0.011685894,0.016105856,0.03038285,0.010655072,0.20944084,0.33260432,0.166324167,0.211205,0.210233088,0.081165807,0.108572808,0.039807744,0.153671424,0.20364819,0.099607436,0.072270617,0.0187499,0.094729807
