time_index,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
36,0.024190918,0.034500356,0.129032192,0.141867273,0.088273434,0.01467585,0.043307598,0.106025678,0.121020128,0.02748149,0.007422655,0.031822891,0.014557186,0.021382195,0.497040199,0.382208561,0.454015833,0.644685,0.490036891,0.338501101,0.52271946,0.68971209,0.604843727,0.460554796,0.419035754,0.433109618,0.404439889,0.619664821
37,0.015605172,0.032882369,0.143846542,0.143805612,0.088258871,0.01036395,0.063609388,0.10297654,0.118080635,0.026798073,0.006262418,0.02957886,0.020600362,0.017585093,0.560471935,0.4632303,0.532335,0.649295,0.573830739,0.395506441,0.60144791,0.717643333,0.70326363,0.541401033,0.502825309,0.511084492,0.467565018,0.685169977
38,0.009945678,0.024975401,0.152536623,0.138383428,0.086090014,0.005492213,0.072068556,0.089975542,0.090654005,0.021829005,0.003857998,0.032121698,0.026675242,0.005680331,0.607795155,0.509359362,0.590294167,0.72919,0.614540528,0.444775901,0.64718276,0.781541949,0.693123073,0.595114146,0.515189193,0.586466451,0.518479978,0.674373547
39,0.00534071,0.021491211,0.143477856,0.117039854,0.09528437,0.001945711,0.052245051,0.071293974,0.059898359,0.01647043,0.001091274,0.032005688,0.029744203,0.002434783,0.625529835,0.533116438,0.63241,0.68764,0.646276077,0.499875681,0.681429478,0.757657103,0.666692964,0.622315402,0.542931841,0.629038603,0.512199548,0.686019216
40,0.0030588,0.022499552,0.132651739,0.108037316,0.101513624,0.001636415,0.035310603,0.058127659,0.039594228,0.013687553,0.000150558,0.03142231,0.03344837,0.00485383,0.629504463,0.520021472,0.596749167,0.687025,0.641765689,0.485064979,0.648367727,0.694599769,0.672225061,0.6405073,0.505935307,0.610212733,0.506326834,0.654940943
41,0.002978013,0.031633938,0.127222488,0.093991821,0.106917374,0.001528649,0.022960148,0.051284406,0.031850349,0.011918951,6.20E-05,0.028433682,0.031751027,0.017408696,0.634162497,0.519721245,0.714059167,0.766515,0.619674004,0.601890907,0.631959419,0.735123013,0.611900321,0.638201857,0.521601882,0.564293135,0.482853371,0.615575805
42,0.004571251,0.035656973,0.134111728,0.090047459,0.125050971,0.002998761,0.01404728,0.051941303,0.031256229,0.013238407,4.89E-05,0.027216806,0.031640821,0.033354865,0.606779903,0.496980657,0.650284167,0.699085,0.602992433,0.541444083,0.569473259,0.695357551,0.625010933,0.616091465,0.470212884,0.511223363,0.441235499,0.599208188
43,0.007035929,0.050290216,0.149216363,0.087365411,0.147976623,0.003371225,0.013251587,0.06000672,0.0348174,0.02139507,5.07E-05,0.02415158,0.037032609,0.039493168,0.613571459,0.437760187,0.619858333,0.56007,0.624984622,0.540080493,0.474091668,0.679040026,0.614343188,0.623833427,0.443612086,0.515222371,0.354968357,0.566406551
44,0.01214466,0.054351425,0.195359542,0.093472688,0.179737585,0.007142645,0.015742369,0.06974271,0.046363854,0.03731056,0.000725104,0.022830226,0.039584601,0.044313043,0.53315408,0.387844781,0.559399167,0.522635,0.527824443,0.477226714,0.327205386,0.689575526,0.505978382,0.561290649,0.334399479,0.323574379,0.309885771,0.450462609
45,0.020322053,0.062479579,0.22991876,0.116971331,0.196273016,0.011535262,0.021951229,0.083688125,0.070128823,0.068147857,0.00660831,0.021562462,0.045004952,0.051373085,0.374272879,0.268540216,0.3497325,0.194535,0.386932791,0.240042091,0.161367805,0.562639936,0.350310661,0.418393395,0.211025127,0.135897597,0.248096697,0.303445542
46,0.02760904,0.054938132,0.226653208,0.146432464,0.209929382,0.02216512,0.024793874,0.107269996,0.099414644,0.099172325,0.021026573,0.017686663,0.063966606,0.05792795,0.259814384,0.110167175,0,0,0.227162566,0.044250241,0,0.392383231,0.084425424,0.262031866,0.057911231,0,0.175122322,0.043652064
47,0.038153262,0.044425355,0.21997118,0.153618773,0.196674219,0.03160421,0.038544974,0.212473381,0.116828273,0.080025768,0.026682326,0.020133663,0.075571377,0.081662112,0,7.95E-06,0,0,0,0,0,0.074473167,0,0,0,0,2.23E-05,0
48,0.061136915,0.045342447,0.227313261,0.200594707,0.206589854,0.056172961,0.035472041,0.253158161,0.183274098,0.104791858,0.047915684,0.022791024,0.062979408,0.105598344,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.069864947,0.056926937,0.215485167,0.229777351,0.198940542,0.061977526,0.027992396,0.179070084,0.253499214,0.137688711,0.057640142,0.021288437,0.070327114,0.09289441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.066994466,0.056624017,0.189684221,0.245928701,0.195253852,0.062524051,0.038414563,0.117640116,0.318673414,0.167325008,0.054256347,0.020538289,0.08146715,0.085299379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.061173598,0.052539992,0.152336591,0.240325754,0.185083585,0.064767669,0.046386869,0.087806456,0.354607319,0.175998398,0.047670989,0.022995417,0.073321739,0.095887371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.056735108,0.047116288,0.130612764,0.229725702,0.164071329,0.065798377,0.052333345,0.071527402,0.375463688,0.172442379,0.040803925,0.02522593,0.067623913,0.11709234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.04888572,0.044942587,0.110479359,0.209154176,0.148371162,0.06181138,0.043074071,0.066793181,0.394233573,0.163242885,0.037346285,0.025630861,0.045484481,0.12148323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.042994603,0.040823971,0.097858484,0.19208076,0.138885299,0.05674712,0.035227976,0.0668259,0.392019057,0.154054287,0.027680104,0.024281326,0.025384601,0.135457557,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.036831888,0.037406717,0.093970517,0.173539342,0.131899144,0.054794327,0.034874177,0.062267041,0.368691853,0.144771517,0.023518459,0.025348834,0.021011353,0.138299793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.033063352,0.031288584,0.084408673,0.173254556,0.130155892,0.053465817,0.039187326,0.060333552,0.360849217,0.143734867,0.019738978,0.027327119,0.017859541,0.133230642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.031018878,0.028602328,0.08482436,0.158834088,0.131516545,0.050655102,0.039428375,0.060521924,0.338123837,0.140841746,0.016012566,0.027976703,0.012814372,0.13442236,0,0,0.0001375,0.000255,0,0,0.001009336,0,3.60E-06,0,0,0.031027354,0,0.053504032
58,0.032034367,0.027401508,0.085472971,0.151915546,0.121890007,0.049665244,0.034462336,0.068073538,0.321139625,0.137289186,0.014942922,0.027391396,0.007201268,0.13167619,0.282490059,0.062249309,0.219344167,0.030015,0.224421036,0.112320561,0.210718805,0.378444026,0.408387176,0.252167692,0.12572499,0.170680191,0.242168717,0.377869449
