time_index,BR_AC_rooftop_pv,BR_AL_rooftop_pv,BR_AM_rooftop_pv,BR_AP_rooftop_pv,BR_BA_rooftop_pv,BR_CE_rooftop_pv,BR_ES_rooftop_pv,BR_GO_rooftop_pv,BR_DF_rooftop_pv,BR_MA_rooftop_pv,BR_MG_rooftop_pv,BR_MS_rooftop_pv,BR_MT_rooftop_pv,BR_PA_rooftop_pv,BR_PB_rooftop_pv,BR_PE_rooftop_pv,BR_PI_rooftop_pv,BR_PR_rooftop_pv,BR_RJ_rooftop_pv,BR_RN_rooftop_pv,BR_RO_rooftop_pv,BR_RR_rooftop_pv,BR_RS_rooftop_pv,BR_SC_rooftop_pv,BR_SE_rooftop_pv,BR_SP_rooftop_pv,BR_TO_rooftop_pv
42,0.321204286,0.007576667,0.126497527,0.05366,0.043886571,0.013092946,0.068520769,0.136604029,0.136604029,0.050320224,0.105903978,0.198221984,0.191891551,0.096397806,0.004636,0.0091925,0.03508074,0.124898792,0.08887,0.004014667,0.199883286,0.141525357,0.293221727,0.082451014,0.014501667,0.121086742,0.10952591
43,0.150740952,0,0.037208172,0.000265789,1.33E-05,0,0,0.009582253,0.009582253,0,0.003032148,0.058829207,0.047216213,0.008496491,0,0,0,0.035636598,0.001588333,0,0.075154446,0.032620536,0.104523624,0.023145725,0,0.016101171,0.002298377
44,0.020072381,0,0.000218172,0,0,0,0,0,0,0,0,3.49E-05,2.26E-05,0,0,0,0,0,0,0,0.002394065,0,0.001531489,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0.010856667,0,0,0.003532711,0.0003275,0.007189231,0,0,0,0.001373718,0,0,0,0.005079333,0.006426333,0,0,0.003225833,0.005770667,0,0,3.61E-05,0.000161667,0.007511667,1.67E-07,0
55,0,0.134091667,0,0.00029,0.101031859,0.054561369,0.158064615,0.0428511,0.0428511,0.025420008,0.102842102,0.016589289,0.004936283,0.00262412,0.098918667,0.105272167,0.050832682,0.036405563,0.082245833,0.114673333,0,0,0.076848495,0.056638623,0.107135,0.056739775,0.030600032
56,0.001948571,0.322041667,0.012823118,0.056671316,0.291342738,0.180819375,0.3692,0.247215509,0.247215509,0.129395665,0.308375433,0.179438199,0.116577842,0.087631308,0.296549333,0.287040833,0.179409505,0.178817852,0.2105925,0.316102667,0.020022022,0.008108214,0.290083997,0.186385362,0.281868333,0.207877127,0.197510629
57,0.046522381,0.460551667,0.094577742,0.198275789,0.461727448,0.294994792,0.576290769,0.472364185,0.472364185,0.23374895,0.487068756,0.358436007,0.293755455,0.241335897,0.468132667,0.447703667,0.298505049,0.314856522,0.312788333,0.514888,0.102483156,0.108868393,0.509976226,0.307920435,0.384108333,0.397995391,0.374066519
58,0.134460952,0.521883333,0.179980968,0.322381842,0.579453915,0.357526339,0.685391538,0.654496766,0.654496766,0.344471554,0.624172966,0.529507926,0.449864265,0.367077041,0.568250667,0.5411975,0.418179552,0.480319348,0.392545833,0.641952,0.234361552,0.271049286,0.696897167,0.438120652,0.45692,0.528950832,0.50575449
59,0.21855381,0.56594,0.278826129,0.461192368,0.670576935,0.425867679,0.7753,0.771562699,0.771562699,0.436106988,0.718905299,0.631920139,0.568161326,0.473376396,0.640792,0.613269167,0.476617122,0.572957609,0.451909167,0.667869333,0.326313804,0.43098875,0.829441843,0.496087899,0.592318333,0.625636776,0.600529697
60,0.35942,0.558906667,0.375542151,0.549046316,0.726406449,0.490760446,0.855363077,0.789430841,0.789430841,0.509016495,0.750471075,0.712492072,0.680112461,0.527529981,0.696931333,0.648235167,0.555161592,0.602189207,0.4724825,0.729704,0.422111787,0.546587679,0.869160029,0.553123406,0.588448333,0.68697166,0.626510503
61,0.434031905,0.609006667,0.376164301,0.653410789,0.713622694,0.520769435,0.846714615,0.757016875,0.757016875,0.573034733,0.703321746,0.749629916,0.697298887,0.529086633,0.720547333,0.636101333,0.551294171,0.562104322,0.34949,0.689866,0.494899018,0.626124464,0.821071023,0.527222464,0.693388333,0.648392099,0.656183423
62,0.50057619,0.480358333,0.39261043,0.546397895,0.636061556,0.400221488,0.768353077,0.685296714,0.685296714,0.483554763,0.636601768,0.735781428,0.685252587,0.507967068,0.612646667,0.5227255,0.473865411,0.554562506,0.380038333,0.596927333,0.509131097,0.64962,0.768391128,0.515347101,0.634038333,0.585007487,0.630582642
