Time_Index,Amazonas_hydro_ror,Doce_hydro_ror,Grande_hydro_ror,Iguacu_hydro_ror,Jacui_capivari_hydro_ror,Jequitinhonha_hydro_ror,Paraiba_do_sul_hydro_ror,Parana_hydro_ror,Paranaiba_hydro_ror,Paranapanema_hydro_ror,Sao_francisco_hydro_ror,Tiete_hydro_ror,Tocantins_hydro_ror,Uruguai_hydro_ror
71,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
72,0.024212635,0.34848485,1.0,0.560483408,0.39141608,0.226477941,0.716531062,1.0,0.811088716,0.910134283,0.33193892,1.0,0.939849033,0.468248126
73,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
74,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
75,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
76,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
77,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
78,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
79,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
80,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
81,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
82,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
83,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
84,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
85,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
86,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
87,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
88,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
89,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
90,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
91,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
92,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
93,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
94,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
95,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
96,0.022557398,0.487762219,1.0,0.508254291,0.395194182,0.286871958,0.655285082,1.0,0.83172171,0.982390076,0.350411558,1.0,1.0,0.460372866
97,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
98,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
99,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
100,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
101,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
102,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
103,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
104,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
105,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
106,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
107,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
108,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
109,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
110,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
111,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
112,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
113,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
114,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
115,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
116,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
117,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
118,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
119,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
120,0.022441917,0.618298379,1.0,0.460324821,0.362702162,0.45527877,0.65896908,1.0,0.792748017,1.0,0.390956597,1.0,0.978335632,0.42054594
121,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
122,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
123,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
124,0.020478729,0.636363466,1.0,0.440723032,0.369502832,1.0,0.628115904,1.0,0.73446835,1.0,0.424775798,1.0,0.954397063,0.373068392
