Time_Index,natgas_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
334,34.27,83.39,37.53,4.535,38.68,51.77,83.39
335,34.27,83.39,37.53,4.535,38.68,51.77,83.39
336,34.27,83.39,37.53,4.535,38.68,51.77,83.39
337,34.27,83.39,37.53,4.535,38.68,51.77,83.39
338,34.27,83.39,37.53,4.535,38.68,51.77,83.39
339,34.27,83.39,37.53,4.535,38.68,51.77,83.39
340,34.27,83.39,37.53,4.535,38.68,51.77,83.39
341,34.27,83.39,37.53,4.535,38.68,51.77,83.39
342,34.27,83.39,37.53,4.535,38.68,51.77,83.39
343,34.27,83.39,37.53,4.535,38.68,51.77,83.39
344,34.27,83.39,37.53,4.535,38.68,51.77,83.39
345,34.27,83.39,37.53,4.535,38.68,51.77,83.39
346,34.27,83.39,37.53,4.535,38.68,51.77,83.39
347,34.27,83.39,37.53,4.535,38.68,51.77,83.39
348,34.27,83.39,37.53,4.535,38.68,51.77,83.39
349,34.27,83.39,37.53,4.535,38.68,51.77,83.39
350,34.27,83.39,37.53,4.535,38.68,51.77,83.39
351,34.27,83.39,37.53,4.535,38.68,51.77,83.39
352,34.27,83.39,37.53,4.535,38.68,51.77,83.39
353,34.27,83.39,37.53,4.535,38.68,51.77,83.39
354,34.27,83.39,37.53,4.535,38.68,51.77,83.39
355,34.27,83.39,37.53,4.535,38.68,51.77,83.39
356,34.27,83.39,37.53,4.535,38.68,51.77,83.39
357,34.27,83.39,37.53,4.535,38.68,51.77,83.39
358,34.27,83.39,37.53,4.535,38.68,51.77,83.39
359,34.27,83.39,37.53,4.535,38.68,51.77,83.39
360,34.27,83.39,37.53,4.535,38.68,51.77,83.39
361,34.27,83.39,37.53,4.535,38.68,51.77,83.39
362,34.27,83.39,37.53,4.535,38.68,51.77,83.39
363,34.27,83.39,37.53,4.535,38.68,51.77,83.39
364,34.27,83.39,37.53,4.535,38.68,51.77,83.39
365,34.27,83.39,37.53,4.535,38.68,51.77,83.39
366,34.27,83.39,37.53,4.535,38.68,51.77,83.39
367,34.27,83.39,37.53,4.535,38.68,51.77,83.39
368,34.27,83.39,37.53,4.535,38.68,51.77,83.39
369,34.27,83.39,37.53,4.535,38.68,51.77,83.39
370,34.27,83.39,37.53,4.535,38.68,51.77,83.39
371,34.27,83.39,37.53,4.535,38.68,51.77,83.39
372,34.27,83.39,37.53,4.535,38.68,51.77,83.39
373,34.27,83.39,37.53,4.535,38.68,51.77,83.39
374,34.27,83.39,37.53,4.535,38.68,51.77,83.39
375,34.27,83.39,37.53,4.535,38.68,51.77,83.39
376,34.27,83.39,37.53,4.535,38.68,51.77,83.39
377,34.27,83.39,37.53,4.535,38.68,51.77,83.39
378,34.27,83.39,37.53,4.535,38.68,51.77,83.39
379,34.27,83.39,37.53,4.535,38.68,51.77,83.39
380,34.27,83.39,37.53,4.535,38.68,51.77,83.39
381,34.27,83.39,37.53,4.535,38.68,51.77,83.39
382,34.27,83.39,37.53,4.535,38.68,51.77,83.39
383,34.27,83.39,37.53,4.535,38.68,51.77,83.39
384,34.27,83.39,37.53,4.535,38.68,51.77,83.39
385,34.27,83.39,37.53,4.535,38.68,51.77,83.39
386,34.27,83.39,37.53,4.535,38.68,51.77,83.39
387,34.27,83.39,37.53,4.535,38.68,51.77,83.39
388,34.27,83.39,37.53,4.535,38.68,51.77,83.39
389,34.27,83.39,37.53,4.535,38.68,51.77,83.39
390,34.27,83.39,37.53,4.535,38.68,51.77,83.39
391,34.27,83.39,37.53,4.535,38.68,51.77,83.39
392,34.27,83.39,37.53,4.535,38.68,51.77,83.39
393,34.27,83.39,37.53,4.535,38.68,51.77,83.39
394,34.27,83.39,37.53,4.535,38.68,51.77,83.39
395,34.27,83.39,37.53,4.535,38.68,51.77,83.39
396,34.27,83.39,37.53,4.535,38.68,51.77,83.39
397,34.27,83.39,37.53,4.535,38.68,51.77,83.39
398,34.27,83.39,37.53,4.535,38.68,51.77,83.39
399,34.27,83.39,37.53,4.535,38.68,51.77,83.39
400,34.27,83.39,37.53,4.535,38.68,51.77,83.39
401,34.27,83.39,37.53,4.535,38.68,51.77,83.39
402,34.27,83.39,37.53,4.535,38.68,51.77,83.39
403,34.27,83.39,37.53,4.535,38.68,51.77,83.39
404,34.27,83.39,37.53,4.535,38.68,51.77,83.39
405,34.27,83.39,37.53,4.535,38.68,51.77,83.39
406,34.27,83.39,37.53,4.535,38.68,51.77,83.39
407,34.27,83.39,37.53,4.535,38.68,51.77,83.39
408,34.27,83.39,37.53,4.535,38.68,51.77,83.39
409,34.27,83.39,37.53,4.535,38.68,51.77,83.39
410,34.27,83.39,37.53,4.535,38.68,51.77,83.39
411,34.27,83.39,37.53,4.535,38.68,51.77,83.39
412,34.27,83.39,37.53,4.535,38.68,51.77,83.39
413,34.27,83.39,37.53,4.535,38.68,51.77,83.39
414,34.27,83.39,37.53,4.535,38.68,51.77,83.39
415,34.27,83.39,37.53,4.535,38.68,51.77,83.39
416,34.27,83.39,37.53,4.535,38.68,51.77,83.39
417,34.27,83.39,37.53,4.535,38.68,51.77,83.39
418,34.27,83.39,37.53,4.535,38.68,51.77,83.39
419,34.27,83.39,37.53,4.535,38.68,51.77,83.39
420,34.27,83.39,37.53,4.535,38.68,51.77,83.39
421,34.27,83.39,37.53,4.535,38.68,51.77,83.39
422,34.27,83.39,37.53,4.535,38.68,51.77,83.39
423,34.27,83.39,37.53,4.535,38.68,51.77,83.39
424,34.27,83.39,37.53,4.535,38.68,51.77,83.39
425,34.27,83.39,37.53,4.535,38.68,51.77,83.39
426,34.27,83.39,37.53,4.535,38.68,51.77,83.39
427,34.27,83.39,37.53,4.535,38.68,51.77,83.39
428,34.27,83.39,37.53,4.535,38.68,51.77,83.39
429,34.27,83.39,37.53,4.535,38.68,51.77,83.39
430,34.27,83.39,37.53,4.535,38.68,51.77,83.39
431,34.27,83.39,37.53,4.535,38.68,51.77,83.39
432,34.27,83.39,37.53,4.535,38.68,51.77,83.39
433,34.27,83.39,37.53,4.535,38.68,51.77,83.39
434,34.27,83.39,37.53,4.535,38.68,51.77,83.39
435,34.27,83.39,37.53,4.535,38.68,51.77,83.39
436,34.27,83.39,37.53,4.535,38.68,51.77,83.39
437,34.27,83.39,37.53,4.535,38.68,51.77,83.39
438,34.27,83.39,37.53,4.535,38.68,51.77,83.39
439,34.27,83.39,37.53,4.535,38.68,51.77,83.39
440,34.27,83.39,37.53,4.535,38.68,51.77,83.39
441,34.27,83.39,37.53,4.535,38.68,51.77,83.39
442,34.27,83.39,37.53,4.535,38.68,51.77,83.39
443,34.27,83.39,37.53,4.535,38.68,51.77,83.39
444,34.27,83.39,37.53,4.535,38.68,51.77,83.39
445,34.27,83.39,37.53,4.535,38.68,51.77,83.39
446,34.27,83.39,37.53,4.535,38.68,51.77,83.39
447,34.27,83.39,37.53,4.535,38.68,51.77,83.39
448,34.27,83.39,37.53,4.535,38.68,51.77,83.39
449,34.27,83.39,37.53,4.535,38.68,51.77,83.39
450,34.27,83.39,37.53,4.535,38.68,51.77,83.39
451,34.27,83.39,37.53,4.535,38.68,51.77,83.39
452,34.27,83.39,37.53,4.535,38.68,51.77,83.39
453,34.27,83.39,37.53,4.535,38.68,51.77,83.39
454,34.27,83.39,37.53,4.535,38.68,51.77,83.39
455,34.27,83.39,37.53,4.535,38.68,51.77,83.39
456,34.27,83.39,37.53,4.535,38.68,51.77,83.39
457,34.27,83.39,37.53,4.535,38.68,51.77,83.39
458,34.27,83.39,37.53,4.535,38.68,51.77,83.39
