time_index,res_basin_N,ror_basin_N,res_basin_NE,ror_basin_NE,res_basin_S,ror_basin_S,res_basin_SE,ror_basin_SE
151,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
152,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
153,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
154,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
155,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
156,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
157,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
158,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
159,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
160,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
161,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
162,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
163,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
164,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
165,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
166,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
167,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
168,0.327905799,0.049802617,0.31522037,0.288622342,0.731122241,0.888070916,0.615895697,0.891382872
169,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
170,0.359492888,0.055448522,0.3163981,0.271809303,1,1,0.626035425,0.908392076
