Time_Index;elec_demand_SE;elec_demand_S;elec_demand_NE;elec_demand_N;Demand_Zero
337;3442.857;2015.112;6190.927;2605.442;0
338;3443.15;1896.4;7083.015;2524.798;0
339;3427.443;1733.899;6657.434;2504.633;0
340;3428.165;1661.957;5955.047;2378.747;0
341;3450.319;1577.742;5909.819;2374.214;0
342;3583.537;1671.371;5786.015;2379.042;0
343;4924.696;2224.972;6553.327;2446.395;0
344;7943.466;3420.136;8180.213;2658.484;0
345;11063.813;4673.365;10082.488;2899.632;0
346;13730.662;5741.167;11549.151;3235.989;0
347;16034.067;6635.039;12354.096;3438.441;0
348;17221.684;7237.854;13265.522;3561.842;0
349;17229.022;7413.369;12532.025;3523.14;0
350;16840.2;7154.721;11484.064;3468.756;0
351;15016.604;6548.044;10726.513;3344.948;0
352;12367.743;5533.844;9597.037;3263.341;0
353;9016.007;4513.13;6551.404;2984.704;0
354;6080.313;3427.738;4313.603;2676.683;0
355;4224.615;2499.182;3808.895;2603.255;0
356;3743.202;2011.761;3745.549;2611.956;0
357;3716.092;2003.05;3282.892;2676.872;0
358;3732.806;2059.042;2928.65;2672.385;0
359;3730.824;2043.213;2768.912;2667.505;0
360;3667.32;2086.931;2684.555;2707.2;0
361;3639.565;2054.423;2363.974;2604.977;0
362;3655.499;1983.363;2222.402;2522.96;0
363;3630.161;1907.851;2237.34;2462.049;0
364;3617.18;1790.78;2311.586;2430.673;0
365;3652.375;1773.92;2493.122;2421.464;0
366;3774.396;1775.367;3033.584;2416.164;0
367;5217.544;2388.429;4549.236;2482.183;0
368;8085.899;3504.364;7031.755;2701.759;0
369;10895.404;4713.34;9468.797;2984.168;0
370;13578.267;5748.723;10773.218;3277.979;0
371;15367.496;6509.982;12124.617;3502.689;0
372;16427.879;7067.554;12440.133;3600.27;0
373;16761.356;7389.419;12761.793;3621.082;0
374;16354.421;7240.01;13455.338;3660.965;0
375;15508.954;6543.217;13175.053;3585.844;0
376;12540.558;5586.799;12162.754;3218.784;0
377;9395.811;4659.625;11106.827;2823.51;0
378;6005.338;3693.416;8548.331;2504.917;0
379;4012.991;2639.244;8591.383;2299.041;0
380;3663.074;2137.519;8556.728;2272.425;0
381;3660.202;2233.03;8463.55;2338.947;0
382;3666.321;2336.454;8338.971;2549.991;0
383;3621.073;2293.485;7905.297;2551.273;0
384;3662.091;2205.344;7688.343;2542.855;0
385;3641.229;2071.094;7563.35;2557.915;0
386;3576.834;2024.987;7649.468;2630.111;0
387;3580.644;1923.532;7323.959;2501.594;0
388;3580.587;1804.171;7017.074;2525.44;0
389;3579.971;1721.287;7218.818;2105.993;0
390;3704.996;1596.105;7943.569;1681.158;0
391;5754.181;2052.972;10078.408;1745.773;0
392;10309.422;2902.106;13750.702;1950.571;0
393;13458.308;3787.17;16062.321;2259.04;0
394;15088.836;4426.549;16292.195;2616.61;0
395;15829.282;5258.461;15827.217;2922.18;0
396;17337.61;5889.536;14889.189;3051.242;0
397;17801.218;5845.816;14560.113;3023.431;0
398;17006.484;5541.452;14171.692;2920.704;0
399;14592.713;5218.248;13682.445;2845.149;0
400;12742.853;4690.458;13082.79;2646.851;0
401;10749.2;3844.207;12150.696;2301.418;0
402;7338.866;2893.849;10206.709;2030.784;0
403;4110.252;1921.713;9883.18;1855.128;0
404;3609.809;1471.244;11566.67;1792.484;0
405;3618.597;1487.399;13125.257;1855.384;0
406;3622.771;1634.511;13787.017;1909.624;0
407;3627.64;1742.404;14279.335;1920.537;0
408;3635.049;1748.059;13558.347;1928.432;0
409;3627.432;1679.161;13007.341;1858.105;0
410;3653.092;1442.629;12662.628;1852.087;0
411;3630.256;1269.819;12548.864;1767.447;0
412;3638.28;1064.317;13182.956;1694.042;0
413;3645.162;978.582;12994.655;1696.575;0
414;3866.139;1073.105;12554.292;1697.786;0
415;7015.525;1670.388;13458.062;1791.805;0
416;12292.599;2667.478;15241.648;1956.755;0
417;15745.294;3641.826;16734.393;2233.665;0
418;17232.328;4490.881;17353.055;2518.631;0
419;18688.693;5254.662;17057.786;2598.561;0
420;19663.244;5759.297;15417.66;2710.099;0
421;21209.42;5716.654;13984.425;2908.027;0
422;20438.746;5525.218;14417.593;2756.229;0
423;18476.772;5277.099;13998.775;2651.134;0
424;16433.776;4473.069;12406.202;2410.536;0
425;12666.528;3507.594;11130.71;2086.998;0
426;8186.331;2470.951;9627.273;1783.819;0
427;4131.781;1508.945;8969.18;1587.525;0
428;3135.889;1009.366;9783.22;1568.87;0
429;2953.692;954.132;10236.994;1581.215;0
430;2949.333;955.551;10070.386;1591.937;0
431;2952.172;990.137;9314.3;1623.076;0
432;2964.478;1004.338;8661.189;1637.41;0
433;2970.152;1032.546;7734.704;1569.878;0
434;2974.214;983.07;7099.159;1561.379;0
435;2972.164;969.731;6933.729;1562.379;0
436;2973.327;948.148;6310.882;1553.385;0
437;2974.315;871.096;5476.404;1540.452;0
438;3220.617;929.892;5013.973;1535.634;0
439;6499.881;1341.634;5718.138;1609.414;0
440;12589.318;2192.98;7601.383;1836.006;0
