Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost_25-A,edges--elec_edge--fixed_om_cost_25-B,edges--elec_edge--fixed_om_cost_25-C,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost_25-A,edges--elec_edge--investment_cost_25-B,edges--elec_edge--investment_cost_25-C,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_PA_Nuclear_Large,BR_PA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_PA,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_PB_Nuclear_Modular,BR_PB,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,216000,,0,36,300,0.25,elec_BR_PB,2.8,,12681127,,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_PB_Nuclear_Large,BR_PB,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_PB,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_PR_Nuclear_Modular,BR_PR,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,216000,,0,36,300,0.25,elec_BR_PR,2.8,,12681127,,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_PR_Nuclear_Large,BR_PR,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_PR,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_PE_Nuclear_Modular,BR_PE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,216000,,0,36,300,0.25,elec_BR_PE,2.8,,12681127,,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_PE_Nuclear_Large,BR_PE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_PE,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_PI_Nuclear_Modular,BR_PI,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,216000,,0,36,300,0.25,elec_BR_PI,2.8,,12681127,,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_PI_Nuclear_Large,BR_PI,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_PI,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RJ_Nuclear_Modular,BR_RJ,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,216000,,0,36,300,0.25,elec_BR_RJ,2.8,,12681127,,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RJ_Nuclear_Existing_Angra1,BR_RJ,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,16,0.08,20,,245905,,640,36,640,0.25,elec_BR_RJ,7,,0,,0.25,0.5,1000,uranium_BR,3.076,0,"from 5-zone model, characteristics assumed to be similar to ""large"""
ThermalPower,BR_RJ_Nuclear_Existing_Angra2,BR_RJ,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,19,0.08,20,,245905,,1350,36,1350,0.25,elec_BR_RJ,7,,0,,0.25,0.5,1000,uranium_BR,3.076,0,"from 5-zone model, characteristics assumed to be similar to ""large"""
ThermalPower,BR_RJ_Nuclear_Large,BR_RJ,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_RJ,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RN_Nuclear_Modular,BR_RN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,216000,,0,36,300,0.25,elec_BR_RN,2.8,,12681127,,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RN_Nuclear_Large,BR_RN,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_RN,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RS_Nuclear_Modular,BR_RS,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,216000,,0,36,300,0.25,elec_BR_RS,2.8,,12681127,,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RS_Nuclear_Large,BR_RS,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_RS,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RO_Nuclear_Modular,BR_RO,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,216000,,0,36,300,0.25,elec_BR_RO,2.8,,12681127,,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RO_Nuclear_Large,BR_RO,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_RO,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RR_Nuclear_Modular,BR_RR,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,216000,,0,36,300,0.25,elec_BR_RR,2.8,,12681127,,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_RR_Nuclear_Large,BR_RR,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_RR,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_SC_Nuclear_Modular,BR_SC,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,216000,,0,36,300,0.25,elec_BR_SC,2.8,,12681127,,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_SC_Nuclear_Large,BR_SC,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,FALSE,TRUE,Uranium,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,Uranium,FALSE,36,50,0.08,20,,204000,,0,36,1000,0.25,elec_BR_SC,3.4,,11836118,,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
