Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
299,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
300,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
301,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
302,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
303,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
304,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
305,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
306,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
307,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
308,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
309,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
310,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
311,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
312,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
313,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
314,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
315,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
316,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
317,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
318,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
319,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
320,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
321,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
322,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
323,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
324,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
325,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
326,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
327,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
328,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
329,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
330,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
331,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
332,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
333,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
334,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
335,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
336,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
337,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
338,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
339,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
340,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
341,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
342,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
343,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
344,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
345,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
346,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
347,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
348,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
349,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
350,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
351,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
352,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
353,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
354,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
355,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
356,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
357,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
358,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
359,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
360,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
361,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
362,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
363,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
364,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
365,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
366,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
367,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
368,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
369,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
370,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
371,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
372,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
373,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
374,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
375,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
376,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
377,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
378,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
379,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
380,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
381,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
382,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
383,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
384,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
385,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
386,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
387,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
388,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
389,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
390,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
391,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
392,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
393,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
394,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
395,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
396,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
397,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
398,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
399,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
400,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
401,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
402,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
403,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
