Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR,aviationgasoline_price_BR,heavyfueloil_price_BR
166,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
167,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
168,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
169,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
170,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
171,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
172,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
173,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
174,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
175,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
176,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
177,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
178,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
179,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
180,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
181,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
182,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
183,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
184,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
185,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
186,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
187,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
188,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
189,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
190,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
191,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
192,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
193,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
194,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
195,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
196,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
