Time_Index,natgas_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
141,26.1,12.58,17.41,4.535,22.67,33.81,55.67
142,26.1,12.58,17.41,4.535,22.67,33.81,55.67
143,26.1,12.58,17.41,4.535,22.67,33.81,55.67
144,26.1,12.58,17.41,4.535,22.67,33.81,55.67
145,26.1,12.58,17.41,4.535,22.67,33.81,55.67
146,26.1,12.58,17.41,4.535,22.67,33.81,55.67
147,26.1,12.58,17.41,4.535,22.67,33.81,55.67
148,26.1,12.58,17.41,4.535,22.67,33.81,55.67
149,26.1,12.58,17.41,4.535,22.67,33.81,55.67
150,26.1,12.58,17.41,4.535,22.67,33.81,55.67
151,26.1,12.58,17.41,4.535,22.67,33.81,55.67
152,26.1,12.58,17.41,4.535,22.67,33.81,55.67
153,26.1,12.58,17.41,4.535,22.67,33.81,55.67
154,26.1,12.58,17.41,4.535,22.67,33.81,55.67
155,26.1,12.58,17.41,4.535,22.67,33.81,55.67
156,26.1,12.58,17.41,4.535,22.67,33.81,55.67
157,26.1,12.58,17.41,4.535,22.67,33.81,55.67
158,26.1,12.58,17.41,4.535,22.67,33.81,55.67
159,26.1,12.58,17.41,4.535,22.67,33.81,55.67
160,26.1,12.58,17.41,4.535,22.67,33.81,55.67
161,26.1,12.58,17.41,4.535,22.67,33.81,55.67
162,26.1,12.58,17.41,4.535,22.67,33.81,55.67
163,26.1,12.58,17.41,4.535,22.67,33.81,55.67
164,26.1,12.58,17.41,4.535,22.67,33.81,55.67
165,26.1,12.58,17.41,4.535,22.67,33.81,55.67
166,26.1,12.58,17.41,4.535,22.67,33.81,55.67
167,26.1,12.58,17.41,4.535,22.67,33.81,55.67
168,26.1,12.58,17.41,4.535,22.67,33.81,55.67
169,26.1,12.58,17.41,4.535,22.67,33.81,55.67
170,26.1,12.58,17.41,4.535,22.67,33.81,55.67
171,26.1,12.58,17.41,4.535,22.67,33.81,55.67
172,26.1,12.58,17.41,4.535,22.67,33.81,55.67
173,26.1,12.58,17.41,4.535,22.67,33.81,55.67
174,26.1,12.58,17.41,4.535,22.67,33.81,55.67
175,26.1,12.58,17.41,4.535,22.67,33.81,55.67
176,26.1,12.58,17.41,4.535,22.67,33.81,55.67
177,26.1,12.58,17.41,4.535,22.67,33.81,55.67
178,26.1,12.58,17.41,4.535,22.67,33.81,55.67
179,26.1,12.58,17.41,4.535,22.67,33.81,55.67
180,26.1,12.58,17.41,4.535,22.67,33.81,55.67
181,26.1,12.58,17.41,4.535,22.67,33.81,55.67
182,26.1,12.58,17.41,4.535,22.67,33.81,55.67
183,26.1,12.58,17.41,4.535,22.67,33.81,55.67
184,26.1,12.58,17.41,4.535,22.67,33.81,55.67
185,26.1,12.58,17.41,4.535,22.67,33.81,55.67
186,26.1,12.58,17.41,4.535,22.67,33.81,55.67
187,26.1,12.58,17.41,4.535,22.67,33.81,55.67
188,26.1,12.58,17.41,4.535,22.67,33.81,55.67
