Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost_25-A,edges--edge--fixed_om_cost_25-B,edges--edge--fixed_om_cost_25-C,edges--edge--variable_om_cost,edges--edge--investment_cost_25-A,edges--edge--investment_cost_25-B,edges--edge--investment_cost_25-C,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_MA_Solar_Class3,BR_MA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1960777.061,10399.89,11494,9964.23,0,996168.5864,967432.9541,938697.3218,system/availability_solar.csv,BR_MA_Solar_Class3,elec_BR_MA,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MG_Solar_Class0,BR_MG,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,3851527.268,10689.6525,11171,12257.2605,0,865093.7672,840139.143553,815184.5114,system/availability_solar.csv,BR_MG_Solar_Class0,elec_BR_MG,5596.015,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MG_Solar_Class1,BR_MG,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1679391.368,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_MG_Solar_Class1,elec_BR_MG,851.62,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MG_Solar_Class3,BR_MG,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,370735.018,10399.89,11494,9964.23,0,996168.5864,967432.9541,938697.3218,system/availability_solar.csv,BR_MG_Solar_Class3,elec_BR_MG,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MS_Solar_Class0,BR_MS,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,847724.898,10689.6525,11171,12257.2605,0,865093.7672,840139.143553,815184.5114,system/availability_solar.csv,BR_MS_Solar_Class0,elec_BR_MS,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MS_Solar_Class1,BR_MS,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4831455.131,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_MS_Solar_Class1,elec_BR_MS,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MS_Solar_Class2,BR_MS,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1080055.181,10399.89,11494,9964.23,0,856704.9816,831992.3379,807279.6942,system/availability_solar.csv,BR_MS_Solar_Class2,elec_BR_MS,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MS_Solar_Class3,BR_MS,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1245381.141,10399.89,11494,9964.23,0,996168.5864,967432.9541,938697.3218,system/availability_solar.csv,BR_MS_Solar_Class3,elec_BR_MS,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MT_Solar_Class0,BR_MT,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,1064226.364,10689.6525,11171,12257.2605,0,865093.7672,840139.143553,815184.5114,system/availability_solar.csv,BR_MT_Solar_Class0,elec_BR_MT,0.225,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MT_Solar_Class1,BR_MT,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4723859.375,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_MT_Solar_Class1,elec_BR_MT,4.56,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MT_Solar_Class2,BR_MT,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,2516923.915,10399.89,11494,9964.23,0,856704.9816,831992.3379,807279.6942,system/availability_solar.csv,BR_MT_Solar_Class2,elec_BR_MT,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_MT_Solar_Class3,BR_MT,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4854890.655,10399.89,11494,9964.23,0,996168.5864,967432.9541,938697.3218,system/availability_solar.csv,BR_MT_Solar_Class3,elec_BR_MT,1.45,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PA_Solar_Class0,BR_PA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,4125,10689.6525,11171,12257.2605,0,865093.7672,840139.143553,815184.5114,system/availability_solar.csv,BR_PA_Solar_Class0,elec_BR_PA,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_PA_Solar_Class1,BR_PA,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,25,0.1075,10,649275.029,10399.89,13856.082192,9964.23,0,757088.124,735249.0435,713409.963,system/availability_solar.csv,BR_PA_Solar_Class1,elec_BR_PA,0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
