Type,id,location,edges--transmission_edge--commodity,edges--transmission_edge--has_capacity,edges--transmission_edge--can_expand,edges--transmission_edge--can_retire,edges--transmission_edge--integer_decisions,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--existing_capacity,edges--transmission_edge--investment_cost_25-A,edges--transmission_edge--investment_cost_25-B,edges--transmission_edge--investment_cost_25-C,edges--transmission_edge--fixed_om_cost_25-A,edges--transmission_edge--fixed_om_cost_25-B,edges--transmission_edge--fixed_om_cost_25-C,edges--transmission_edge--variable_om_cost,edges--transmission_edge--wacc,edges--transmission_edge--lifetime,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--loss_fraction,Note
OneWayTransmissionLink,BR_PB_CO2_Pipeline_Potiguar,BR_PB,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_PB,co2_transported_BR_PB_Potiguar,100,0,158223,158223,158223,4747,4747,4747,0,0.11,50,20,0,
OneWayTransmissionLink,BR_PR_CO2_Pipeline_Parana,BR_PR,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_PR,co2_transported_BR_PR_Parana,100,0,158223,158223,158223,4747,4747,4747,0,0.11,50,20,0,
OneWayTransmissionLink,BR_PE_CO2_Pipeline_SergipeAlagoas,BR_PE,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_PE,co2_transported_BR_PE_SergipeAlagoas,200,0,307999,307999,307999,9240,9240,9240,0,0.11,50,20,0,
OneWayTransmissionLink,BR_PI_CO2_Pipeline_Ceara,BR_PI,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_PI,co2_transported_BR_PI_Ceara,100,0,158223,158223,158223,4747,4747,4747,0,0.11,50,20,0,
OneWayTransmissionLink,BR_RJ_CO2_Pipeline_Campos,BR_RJ,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_RJ,co2_transported_BR_RJ_Campos,300,0,448767,448767,448767,13463,13463,13463,0,0.11,50,20,0,
OneWayTransmissionLink,BR_RN_CO2_Pipeline_Potiguar,BR_RN,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_RN,co2_transported_BR_RN_Potiguar,100,0,158223,158223,158223,4747,4747,4747,0,0.11,50,20,0,
OneWayTransmissionLink,BR_RS_CO2_Pipeline_Parana,BR_RS,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_RS,co2_transported_BR_RS_Parana,100,0,158223,158223,158223,4747,4747,4747,0,0.11,50,20,0,
OneWayTransmissionLink,BR_RO_CO2_Pipeline_Parecis,BR_RO,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_RO,co2_transported_BR_RO_Parecis,900,0,1164992,1164992,1164992,34950,34950,34950,0,0.11,50,20,0,
OneWayTransmissionLink,BR_RR_CO2_Pipeline_Parecis,BR_RR,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_RR,co2_transported_BR_RR_Parecis,900,0,1164992,1164992,1164992,34950,34950,34950,0,0.11,50,20,0,
OneWayTransmissionLink,BR_SC_CO2_Pipeline_Parana,BR_SC,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_SC,co2_transported_BR_SC_Parana,100,0,158223,158223,158223,4747,4747,4747,0,0.11,50,20,0,
OneWayTransmissionLink,BR_SP_CO2_Pipeline_Parana,BR_SP,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_SP,co2_transported_BR_SP_Parana,100,0,158223,158223,158223,4747,4747,4747,0,0.11,50,20,0,
OneWayTransmissionLink,BR_SE_CO2_Pipeline_SergipeAlagoas,BR_SE,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_SE,co2_transported_BR_SE_SergipeAlagoas,200,0,307999,307999,307999,9240,9240,9240,0,0.11,50,20,0,
OneWayTransmissionLink,BR_TO_CO2_Pipeline_Parecis,BR_TO,CO2Captured,TRUE,FALSE,FALSE,FALSE,TRUE,co2_captured_BR_TO,co2_transported_BR_TO_Parecis,900,0,1164992,1164992,1164992,34950,34950,34950,0,0.11,50,20,0,
