Time_Index,elec_N,elec_NE,elec_CW,elec_SE,elec_S
75,21310.33,62430.87999999999,27667.75,20603.85,18487.02
76,20403.5,63301.96000000001,26601.449999999997,19882.199999999997,19247.39
77,21595.72,66841.08000000002,24554.739999999998,19165.29,19337.35
78,25049.05,69612.17,23320.2,18520.97,20510.91
79,28543.36,76056.05,25877.620000000003,17986.829999999998,21588.420000000002
80,32493.88,83972.66,26525.98,17676.71,22453.39
81,31069.109999999997,83736.82,23886.86,17540.98,22360.910000000003
82,27338.620000000003,83175.07999999999,20843.05,17308.12,22338.620000000003
83,22709.09,83955.44,18500.8,16321.43,22370.050000000003
84,20081.380000000005,82202.66,15752.449999999999,16002.18,22520.55
85,18183.340000000004,79772.6,14459.32,15610.39,20871.34
86,16488.23,75969.79999999999,13472.91,15435.349999999999,20246.84
87,16604.67,70240.88,13228.07,15320.14,19508.59
88,16135.88,67091.40999999999,13079.77,14824.73,19104.09
