time_index,BR_CW_Class0,BR_CW_Class1,BR_CW_Class2,BR_CW_Class3,BR_N_Class0,BR_N_Class1,BR_N_Class2,BR_N_Class3,BR_NE_Class0,BR_NE_Class1,BR_NE_Class2,BR_NE_Class3,BR_S_Class0,BR_S_Class1,BR_S_Class3,BR_SE_Class0,BR_SE_Class1,BR_SE_Class3
11,0.7373624111063808,0.6707166101377955,0.6901933777611927,0.49120868357928665,0.7990670812319383,0.678126188663196,0.5885398697242911,0.4625106296606473,0.7523653637859404,0.6470298010563682,0.49808,0.5751743650943555,0.398156667,0.424385503169981,0.3509319835881145,0.8570805667883784,0.8713179695063007,0.6833374091047713
12,0.7527994759988541,0.6833419639502836,0.701901490900978,0.5750563775819933,0.7354121996953478,0.6713985998021592,0.6177559840371123,0.5283550000872635,0.7138207186183033,0.6536245539668444,0.60531,0.6187407344471602,0.576173333,0.46948775477524607,0.44083617793030905,0.8432337150771939,0.875536473535593,0.7171748690844049
13,0.7565438953424143,0.7042767266969046,0.6674309629845567,0.6041545020117525,0.7301151583800221,0.6599235320503047,0.6313558386427129,0.5416112277799757,0.7163052407812632,0.6219239896176778,0.45488,0.578897353305402,0.581683333,0.3903470697174043,0.48164038331874853,0.8048185938401742,0.85325843544281,0.7116340876959484
14,0.7093029668399786,0.6720120650237486,0.6347156714285842,0.5883283915393991,0.7118571229892896,0.6382186862482527,0.6215624088767002,0.563732823787476,0.7279998108734357,0.6303472953901406,0.41601,0.6303025163211518,0.310476667,0.3088341542598347,0.49001159882022016,0.7538296351581139,0.8082114651637596,0.6402503009638312
15,0.6624820643435169,0.6249959434115194,0.6399032538236082,0.5260223527744367,0.7339410245333896,0.6696870699044589,0.6220938162577976,0.5360612774577503,0.6674380765310961,0.5407502961332635,0.60313,0.5667210495790833,0.177616667,0.30362233481270606,0.4994523170265113,0.653477486268222,0.7395092786538855,0.5596546361702847
16,0.6445719719994378,0.5991943546252143,0.6811248301751076,0.533974279277526,0.6433347079927334,0.5664038098940367,0.5539281785388328,0.4913330489405809,0.5541405298029018,0.45839027351734857,0.38262,0.4549108837296601,0.12368,0.1824522783151239,0.47314798404422603,0.6532489580439411,0.696045507489925,0.4439423245347068
17,0.5276648016615418,0.5114388042098567,0.5998986118713996,0.45037565153078746,0.5989166502942063,0.5443422379201414,0.5037740284317584,0.41838063692211824,0.45564983812925175,0.3342562730778959,0.56515,0.381337997745216,0.08261,0.16861943623707734,0.4375331441713919,0.5158776041136363,0.575216861360686,0.32766331057464054
18,0.36013842525671574,0.40849627571229524,0.46888670459884485,0.33267761009107316,0.4289061978274868,0.40894028497649415,0.3508646366831508,0.3187679207883263,0.2624898798528164,0.15913205968997254,0.38706,0.21913699624235622,0.086616667,0.10936094104766524,0.3675325414902916,0.3736053894182752,0.4322923011400311,0.20855410101634483
19,0.1935938539125257,0.20623531379405913,0.3015729938358352,0.1936074061757847,0.0011011409807876755,0.10609575011688295,0.06239829145141469,0.11034252727317365,0.0,0.0,0.0,0.0,0.038966667,0.09501592179650975,0.25169241403747356,0.08529520679994738,0.08443066684348544,0.0110310668013414
20,0.0,0.0,0.0,0.0,0.0,0.0011007146445462723,0.0006975930963393222,0.0009219722606841494,0.0,0.0,0.0,0.0,0.0,0.0,0.04416294248019013,0.0,0.0,0.0
