Time_Index,h2_N,h2_NE,h2_CW,h2_SE,h2_S
44,4734.78,16471.5,7416.84,5149.77,3244.95
45,6337.919999999999,22122.21,9504.89,6924.589999999999,4369.9
46,6841.25,23895.57,10164.07,7481.5199999999995,4722.88
47,7780.99,27063.85,12216.130000000001,8460.89,5330.94
48,7575.01,26312.09,12095.3,8222.01,5177.25
49,5978.0,20705.23,9888.9,6463.45,4064.49
50,5106.110000000001,17640.940000000002,8701.5,5501.96,3455.91
51,4631.360000000001,15975.369999999999,8038.33,4979.66,3125.5099999999998
52,4252.2699999999995,14657.34,7439.82,4567.719999999999,2866.04
53,4402.35,15154.91,7816.48,4720.54,2960.1099999999997
54,4387.740000000001,15098.510000000002,7825.05,4702.34,2948.14
55,4494.249999999999,15475.82,7953.460000000001,4820.99,3023.5299999999997
56,4498.05,15502.59,7881.110000000001,4830.929999999999,3030.97
57,6029.27,20832.989999999998,10260.060000000001,6497.82,4081.62
58,6506.2300000000005,22467.079999999998,11151.27,7005.9800000000005,4399.58
59,6093.11,21002.48,10661.98,6545.01,4106.65
60,6846.679999999999,23652.79,11677.0,7376.8099999999995,4633.36
61,5797.21,19990.620000000003,10097.33,6230.62,3910.1
62,5384.289999999999,18574.58,9333.98,5790.07,3634.33
63,5819.18,20052.059999999998,10218.19,6248.14,3919.8
64,5634.000000000001,19400.46,9970.52,6043.63,3790.27
65,6164.779999999999,21274.239999999998,10645.3,6632.42,4163.77
66,5388.89,18560.09,9516.04,5782.25,3626.67
67,5802.63,20075.78,9724.619999999999,6264.5199999999995,3937.44
68,4734.78,16471.5,7416.84,5149.77,3244.95
69,6337.919999999999,22122.21,9504.89,6924.589999999999,4369.9
70,6841.25,23895.57,10164.07,7481.5199999999995,4722.88
71,7780.99,27063.85,12216.130000000001,8460.89,5330.94
72,7575.01,26312.09,12095.3,8222.01,5177.25
73,5978.0,20705.23,9888.9,6463.45,4064.49
74,5106.110000000001,17640.940000000002,8701.5,5501.96,3455.91
75,4631.360000000001,15975.369999999999,8038.33,4979.66,3125.5099999999998
76,4252.2699999999995,14657.34,7439.82,4567.719999999999,2866.04
77,4402.35,15154.91,7816.48,4720.54,2960.1099999999997
78,4387.740000000001,15098.510000000002,7825.05,4702.34,2948.14
79,4494.249999999999,15475.82,7953.460000000001,4820.99,3023.5299999999997
80,4498.05,15502.59,7881.110000000001,4830.929999999999,3030.97
81,6029.27,20832.989999999998,10260.060000000001,6497.82,4081.62
82,6506.2300000000005,22467.079999999998,11151.27,7005.9800000000005,4399.58
83,6093.11,21002.48,10661.98,6545.01,4106.65
84,6846.679999999999,23652.79,11677.0,7376.8099999999995,4633.36
85,5797.21,19990.620000000003,10097.33,6230.62,3910.1
86,5384.289999999999,18574.58,9333.98,5790.07,3634.33
87,5819.18,20052.059999999998,10218.19,6248.14,3919.8
